names,number,annotation,adduct,mz,mzmin,mzmax,rt,Rtminutes,rtmin,rtmax,npeaks,mzXML,t01,t02,t03,t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t53,t61,t62,t63,t71,t72,t73,t81,t82,t83,t91,t92,t93,t101,t102,t103,t111,isotopes,pcgroup,pc_nocorr,CouA,MSnEluc,formula
M747.28T681.6,67,pinoresinol_diglucoside_13C16_AA,[M+Ac-H]-,747.2795365,747.2787643,747.2804343,681.6007464,11.36001244,660.1182727,694.5326268,19,19,0,0,0,0,0,0,3996.076721,792.7592654,746.9907349,0,13009.94899,11452.18966,13143.82757,20366.45284,14070.4834,0,3521.728562,23968.40328,134807.1673,10356.18464,95064.32859,50587.16348,34625.16408,55674.74853,0,77255.65225,8520.316921,42751.12336,51993.75691,134674.274,89754.18828,16265.86657,58831.86592,,2277,282,2,NA,
M744.269T681.6,67,pinoresinol_diglucoside_13C3_AA,[M+Ac-H]-,744.2687,NA,NA,681.6007464,11.36001244,660.1182727,694.5326268,NA,NA,0,0,0,0,0,0,0,16243.47668,10782.76718,0,0,21249.96924,0,0,0,19690.85599,0,0,74222.3693,0,83779.19805,44601.22809,0,34490.9914,0,59777.39273,0,0,87650.39525,13285.89689,59855.9796,0,0,,NA,NA,1,NA,
M741.259T683.43,67,pinoresinol_diglucoside_AA,[M-H]-,741.2586997,741.2586997,741.2596718,683.429155,11.39048592,660.1182727,718.907399,38,33,671640.4093,530068.6786,1711455.882,1442752.287,961644.4421,1508010.744,574752.5519,817284.7194,563340.0066,109055.1343,997392.213,638986.1755,387540.5316,463315.5337,511393.664,465109.2903,305331.1316,1683445.943,732382.3221,234451.8617,916163.2546,715029.6417,705121.2703,425586.2082,635359.6971,422787.1237,546081.7532,764479.7314,710952.8599,710925.2097,699119.3283,127280.5708,383000.5334,,1196,28,0,NA,
M519.187T835.82,22,pinoresinol_monoglucoside,[M-H]-,519.1865318,519.1861268,519.1865318,835.8173186,13.93028864,830.8504401,848.0539401,30,30,91453.77052,98665.93264,560193.5168,135270.4376,103669.2399,769703.9119,77775.65828,60603.36157,109471.5179,11336.82986,146381.9814,118088.0414,122155.69,100571.4104,72902.70756,43786.46339,159522.5031,845687.7271,96973.3408,36192.17093,251150.7611,133714.7891,332980.4774,91711.66135,113840.4687,70241.45699,88593.62609,152492.359,116457.1651,127934.6432,174213.4177,29255.10718,275524.2148,,106,106,0,NA,
M522.196T835.82,22,pinoresinol_monoglucoside_13C3,[M-H]-,522.1960454,522.1954715,522.1966137,835.8173186,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8243.084294,5692.228388,11441.9852,2831.819,8287.817273,4979.982154,8919.769085,61432.43495,25048.83815,2232.980805,88328.54313,37345.13234,51325.74729,38094.14779,20564.40045,34023.86047,45106.82381,48627.67608,50428.7431,46079.31814,82778.92074,12984.47873,51082.61525,,NA,NA,1,NA,
M525.207T835.18,22,pinoresinol_monoglucoside_13C6,[M-H]-,525.2065702,525.2056798,525.2067693,835.1781386,13.91963564,830.8504401,843.2514865,18,18,0,0,0,0,0,0,0,0,0,0,14542.56373,3962.310753,19569.2202,26323.18089,18308.95487,9997.93488,6530.139872,26752.40586,44410.47294,27930.84391,176413.9241,97755.75376,105679.2166,90060.48807,73102.38721,38137.60907,36035.07312,24832.6856,43921.44886,47287.10219,90548.68184,14581.215,32002.5862,,2351,325,2,NA,
M341.087T373.13,6,caffeic_acid_glucoside,[M-H]-,341.0870749,341.0849603,341.0871875,373.1281656,6.218802759,367.9210768,380.4148162,22,22,5828.84166,0,116960.1913,2574.824788,2629.577863,42285.62655,14096.49849,7886.390705,13991.04387,0,8084.347107,15069.0305,49508.65231,7353.2336,2938.40301,3914.731985,23338.5934,135605.9778,1360.808604,2747.984934,74949.55694,43541.73263,116669.4434,24557.39631,30762.28174,10503.7753,11719.93755,11267.44802,40145.40563,41057.52237,0,6113.070756,0,[4][M]+,421,421,0,TRUE,C15H17O9
M344.097T373.55,6,caffeic_acid_glucoside_13C3,[M-H]-,344.0971416,344.0971416,344.0972745,373.550664,6.2258444,369.4292178,380.4148162,25,25,0,0,0,5179.741911,3756.95868,13320.58176,12370.95072,6098.33121,14685.66868,6446.467688,27024.13205,26578.78232,26855.31192,20193.67218,13416.50768,30214.82563,27189.01842,39344.18676,77908.40099,13355.38641,41256.85026,139924.3588,104337.6379,137286.8815,93099.63275,161871.062,120361.3294,83726.94651,177100.825,8738.797218,0,7450.947637,0,[4][M+1]+,421,421,1,TRUE,C15H17O9
M473.072T561.16,17,chicoric_acid,[M-H]-,473.0718119,473.0713094,473.0718119,561.1557039,9.352595064,545.8647314,580.490895,33,33,365773.5674,1290374.983,3177783.794,848760.6441,622375.4974,4657891.998,1005043.35,198564.5764,3464452.871,54492.4477,2194910.564,1674230.078,410066.2421,219647.3303,421450.5677,219922.0717,719390.322,842011.8741,511770.7908,63947.82956,871251.5066,1062187.952,2290351.273,1174881.499,1534813.162,672791.1356,719816.3286,1741547.392,1355301.241,1592236.802,2115190.068,132241.2691,1935110.251,,1114,18,0,TRUE,C22H17O12
M476.082T561.57,17,chicoric_acid_13C3,[M-H]-,476.081795,476.0792691,476.0820155,561.5744611,9.359574352,549.865095,580.490895,25,25,0,0,0,2157.388334,0,20112.52028,16484.88534,0,38659.90142,0,24420.67901,21028.50914,12261.54442,7339.998594,14082.68886,19148.45312,40031.53407,20492.12645,28343.79333,0,47908.02677,57175.55974,151660.9285,140168.0342,101892.5832,76533.30914,114314.8741,103356.1521,220188.8796,417080.7265,223191.6148,32484.25397,388649.5792,,1432,51,1,TRUE,C22H17O12
M479.092T560.21,17,chicoric_acid_13C6,[M-H]-,479.0918315,479.0906593,479.0918315,560.2103265,9.336838775,556.1670134,580.490895,17,17,0,0,0,0,0,0,692.1622251,0,0,0,0,0,0,5084.147931,6706.316822,9328.176991,34409.22538,0,19656.67894,0,28096.79521,20363.7842,122434.8022,176137.7823,32267.57698,30868.24588,108496.5691,66613.364,104764.6526,239486.5526,141393.6151,13528.32363,269595.0254,,167,167,2,TRUE,C22H17O12
